X;Y;OBJECTID;created_date;created_user;src_geo;clc_quartier;clc_secteur;haut_tot;haut_tronc;tronc_diam;fk_arb_etat;fk_stadedev;fk_port;fk_pied;fk_situation;fk_revetement;commentaire_environnement;dte_plantation;age_estim;fk_prec_estim;clc_nbr_diag;dte_abattage;fk_nomtech;last_edited_user;last_edited_date;villeca;nomfrancais;nomlatin;GlobalID;CreationDate;Creator;EditDate;Editor;feuillage;remarquable
1721417.8321;8295695.0668;4892;02/02/2017;mickael.delaere;Orthophoto;Quartier de l'Europe;Avenue Robert Schuman;14;7;150;EN PLACE;Adulte;Semi libre;Bande de terre;Groupe;Non;RAS;;35;1;0;;PINNIGnig;mickael.delaere;12/05/2017;Ville;PINNIGnig;PINNIGnig;{E7F321A0-2D5B-4682-90AE-1E79C5FB95FE};15/01/2018;mickael.delaere;15/01/2018;mickael.delaere;Conifère;Non
1720989.0437;8294944.7436;4893;02/02/2017;mickael.delaere;Orthophoto;Quartier Remicourt;Boulevard Roosevelt;0;0;0;ABATTU;;;;Alignement;;RAS;;0;0;0;;RAS;mickael.delaere;02/02/2017;Ville;RAS;RAS;{583429E4-9F17-4C19-8AB9-0235F21CADEB};15/01/2018;mickael.delaere;15/01/2018;mickael.delaere;;Non
1721420.1117;8295699.7269;4894;02/02/2017;mickael.delaere;Orthophoto;Quartier de l'Europe;Avenue Robert Schuman;14;7;130;EN PLACE;Adulte;Semi libre;Bande de terre;Groupe;Non;RAS;;35;1;0;;PINNIGnig;mickael.delaere;12/05/2017;Ville;PINNIGnig;PINNIGnig;{FE50710C-8A9C-4D5C-BC7B-067167CB6D48};15/01/2018;mickael.delaere;15/01/2018;mickael.delaere;Conifère;Non
1721422.8689;8295697.5601;4895;02/02/2017;mickael.delaere;Orthophoto;Quartier de l'Europe;Avenue Robert Schuman;12;1;110;EN PLACE;Adulte;Semi libre;Bande de terre;Groupe;Non;RAS;;40;1;0;;PINNIGnig;mickael.delaere;12/05/2017;Ville;PINNIGnig;PINNIGnig;{1D7D7526-E272-4A3A-A173-C34FFAE82E42};15/01/2018;mickael.delaere;15/01/2018;mickael.delaere;Conifère;Non
1721425.9153;8295693.2881;4896;02/02/2017;mickael.delaere;Orthophoto;Quartier de l'Europe;Avenue Robert Schuman;12;1;110;EN PLACE;Adulte;Semi libre;Gazon;Groupe;Non;RAS;;40;1;0;;PINNIGnig;mickael.delaere;12/05/2017;Ville;PINNIGnig;PINNIGnig;{03F73D31-603B-4E7A-B2D3-87EF01589887};15/01/2018;mickael.delaere;15/01/2018;mickael.delaere;Conifère;Non
1721442.2202;8295691.6066;4897;02/02/2017;mickael.delaere;Orthophoto;Quartier de l'Europe;Avenue Robert Schuman;4;1;60;EN PLACE;Adulte;Semi libre;Bac de plantation;Groupe;Non;RAS;;15;0,5;0;;ACEPSE;mickael.delaere;12/05/2017;Ville;ACEPSE;ACEPSE;{4FA96C86-556E-4336-8892-E64F63029847};15/01/2018;mickael.delaere;15/01/2018;mickael.delaere;Feuillu;Non
1721438.5844;8295694.316;4898;02/02/2017;mickael.delaere;Orthophoto;Quartier de l'Europe;Avenue Robert Schuman;5;0;40;EN PLACE;Adulte;Semi libre;Bac de plantation;Groupe;Non;RAS;;15;1;0;;PARPER;mickael.delaere;12/05/2017;Ville;PARPER;PARPER;{987E2E1D-3F6D-4C8C-A6F5-D252A7C9E3D3};15/01/2018;mickael.delaere;15/01/2018;mickael.delaere;Feuillu;Non
1721448.8706;8295701.2202;4899;02/02/2017;mickael.delaere;Orthophoto;Quartier de l'Europe;Avenue Robert Schuman;5;2;40;EN PLACE;Adulte;Semi libre;Fosse arbre;Alignement;Non;RAS;;30;2;0;;MAGKOB;mickael.delaere;12/05/2017;Ville;MAGKOB;MAGKOB;{B7B6AE9C-5985-4357-B868-A2BE0BB792D2};15/01/2018;mickael.delaere;15/01/2018;mickael.delaere;Feuillu;Non
1721459.3919;8295708.5452;4900;02/02/2017;mickael.delaere;Orthophoto;Quartier de l'Europe;Avenue Robert Schuman;5;2;35;EN PLACE;Adulte;Semi libre;Fosse arbre;Alignement;Non;RAS;;30;2;0;;MAGKOB;mickael.delaere;12/05/2017;Ville;MAGKOB;MAGKOB;{DFBC6BC9-D6E1-49CC-8468-C52F10303C73};15/01/2018;mickael.delaere;15/01/2018;mickael.delaere;Feuillu;Non
1721468.7237;8295715.0504;4901;02/02/2017;mickael.delaere;Orthophoto;Quartier de l'Europe;Avenue Robert Schuman;5;2;40;EN PLACE;Adulte;Semi libre;Fosse arbre;Alignement;Non;RAS;;30;2;0;;MAGKOB;mickael.delaere;12/05/2017;Ville;MAGKOB;MAGKOB;{360825CC-4189-4B90-9B58-DB759C780890};15/01/2018;mickael.delaere;15/01/2018;mickael.delaere;Feuillu;Non
1721478.3198;8295721.9524;4902;02/02/2017;mickael.delaere;Orthophoto;Quartier de l'Europe;Avenue Robert Schuman;5;2;35;EN PLACE;Adulte;Semi libre;Fosse arbre;Alignement;Non;RAS;;30;2;0;;MAGKOB;mickael.delaere;12/05/2017;Ville;MAGKOB;MAGKOB;{A6897747-00EC-4C28-B150-17A7F3B13251};15/01/2018;mickael.delaere;15/01/2018;mickael.delaere;Feuillu;Non
1721488.4975;8295729.013;4903;02/02/2017;mickael.delaere;Orthophoto;Quartier de l'Europe;Avenue Robert Schuman;5;2;35;EN PLACE;Adulte;Semi libre;Fosse arbre;Alignement;Non;RAS;;30;2;0;;MAGKOB;mickael.delaere;12/05/2017;Ville;MAGKOB;MAGKOB;{62AD34AE-E6E6-4C6D-B62B-53170A03B5CF};15/01/2018;mickael.delaere;15/01/2018;mickael.delaere;Feuillu;Non
1721497.75;8295735.6768;4904;02/02/2017;mickael.delaere;Orthophoto;Quartier de l'Europe;Avenue Robert Schuman;5;2;30;EN PLACE;Adulte;Semi libre;Fosse arbre;Alignement;Non;RAS;;30;2;0;;MAGKOB;mickael.delaere;12/05/2017;Ville;MAGKOB;MAGKOB;{C96CDEC7-09F3-4088-AC1D-F3C45317EF25};15/01/2018;mickael.delaere;15/01/2018;mickael.delaere;Feuillu;Non
1721507.0553;8295742.235;4905;02/02/2017;mickael.delaere;Orthophoto;Quartier de l'Europe;Avenue Robert Schuman;5;2;40;EN PLACE;Adulte;Semi libre;Fosse arbre;Alignement;Non;RAS;;30;2;0;;MAGKOB;mickael.delaere;12/05/2017;Ville;MAGKOB;MAGKOB;{8C4A3FF1-FED5-4412-8296-4B1408D42AC8};15/01/2018;mickael.delaere;15/01/2018;mickael.delaere;Feuillu;Non
